Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,PitInTimeSeconds,PitOutTimeSeconds,Season,RoundNumber,EventName,SessionName,SessionType,EventDate
0 days 00:20:19.908000,VER,1,,1.0,1.0,0 days 00:18:33.392000,,,0 days 00:00:46.433000,0 days 00:00:27.011000,,0 days 00:19:53.059000,0 days 00:20:20.023000,209.0,244.0,276.0,193.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:18:33.392000,,1,,,,False,False,,,46.433,27.011,,1113.392,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:21:57.674000,VER,1,0 days 00:01:37.766000,2.0,1.0,,,0 days 00:00:30.695000,0 days 00:00:41.580000,0 days 00:00:25.491000,0 days 00:20:50.603000,0 days 00:21:32.183000,0 days 00:21:57.674000,228.0,263.0,176.0,306.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:20:19.908000,,12,,,,False,True,97.766,30.695,41.58,25.491,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:36:10.140000,VER,1,,3.0,1.0,,0 days 00:24:20.357000,0 days 00:00:47.032000,,,0 days 00:22:44.832000,,,163.0,,,180.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:21:57.674000,,251,,,,False,False,,47.032,,,1460.357,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:38:04.834000,VER,1,,4.0,2.0,0 days 00:36:10.140000,,,0 days 00:00:45.882000,0 days 00:00:35.730000,,0 days 00:37:29.212000,0 days 00:38:04.888000,206.0,236.0,276.0,190.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:36:10.140000,,1,,,,False,False,,,45.882,35.73,,2170.14,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:39:39.617000,VER,1,0 days 00:01:34.783000,5.0,2.0,,,0 days 00:00:30.119000,0 days 00:00:40.789000,0 days 00:00:23.875000,0 days 00:38:34.953000,0 days 00:39:15.742000,0 days 00:39:39.617000,232.0,263.0,278.0,309.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:38:04.834000,,1,,,,False,True,94.783,30.119,40.789,23.875,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:41:48.377000,VER,1,0 days 00:02:08.760000,6.0,2.0,,,0 days 00:00:42.765000,0 days 00:01:00.164000,0 days 00:00:25.831000,0 days 00:40:22.382000,0 days 00:41:22.546000,0 days 00:41:48.377000,146.0,181.0,278.0,288.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:39:39.617000,,1,,,,False,True,128.76,42.765,60.164,25.831,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:43:23.119000,VER,1,0 days 00:01:34.742000,7.0,2.0,,,0 days 00:00:30.224000,0 days 00:00:40.815000,0 days 00:00:23.703000,0 days 00:42:18.601000,0 days 00:42:59.416000,0 days 00:43:23.119000,231.0,263.0,279.0,310.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:41:48.377000,,1,,,,False,True,94.742,30.224,40.815,23.703,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:45:16.337000,VER,1,0 days 00:01:53.218000,8.0,2.0,,0 days 00:45:14.568000,0 days 00:00:34.951000,0 days 00:00:49.152000,0 days 00:00:29.115000,0 days 00:43:58.070000,0 days 00:44:47.222000,0 days 00:45:16.337000,179.0,200.0,,258.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:43:23.119000,,1,,,,False,False,113.218,34.951,49.152,29.115,2714.568,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:56:26.499000,VER,1,,9.0,3.0,0 days 00:54:27.597000,0 days 00:56:24.693000,,0 days 00:00:44.702000,0 days 00:00:28.840000,,0 days 00:55:57.772000,0 days 00:56:26.499000,204.0,243.0,,192.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:45:16.337000,,12,,,,False,False,,,44.702,28.84,3384.693,3267.597,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 00:58:37.303000,VER,1,0 days 00:02:10.804000,10.0,4.0,0 days 00:56:46.437000,,0 days 00:01:03.657000,0 days 00:00:42.700000,0 days 00:00:24.447000,0 days 00:57:30.156000,0 days 00:58:12.856000,0 days 00:58:37.303000,227.0,254.0,270.0,199.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:56:26.499000,,12,,,,False,False,130.804,63.657,42.7,24.447,,3406.437,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 01:00:16.005000,VER,1,0 days 00:01:38.702000,11.0,4.0,,,0 days 00:00:31.520000,0 days 00:00:42.499000,0 days 00:00:24.683000,0 days 00:59:08.823000,0 days 00:59:51.322000,0 days 01:00:16.005000,227.0,255.0,264.0,291.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:58:37.303000,,1,,,,False,True,98.702,31.52,42.499,24.683,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 01:01:55.195000,VER,1,0 days 00:01:39.190000,12.0,4.0,,,0 days 00:00:31.789000,0 days 00:00:42.890000,0 days 00:00:24.511000,0 days 01:00:47.794000,0 days 01:01:30.684000,0 days 01:01:55.195000,224.0,255.0,265.0,285.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:00:16.005000,,1,,,,False,True,99.19,31.789,42.89,24.511,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
0 days 01:03:34.067000,VER,1,0 days 00:01:38.872000,13.0,4.0,,,0 days 00:00:31.787000,0 days 00:00:42.524000,0 days 00:00:24.561000,0 days 01:02:26.982000,0 days 01:03:09.506000,0 days 01:03:34.067000,223.0,255.0,265.0,282.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:01:55.195000,,1,,,,False,True,98.872,31.787,42.524,24.561,,,2022,1,Bahrain Grand Prix,Practice 1,"{'Meeting': {'Key': 1124, 'Name': 'Bahrain Grand Prix', 'OfficialName': 'FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022', 'Location': 'Sakhir', 'Country': {'Key': 36, 'Code': 'BRN', 'Name': 'Bahrain'}, 'Circuit': {'Key': 63, 'ShortName': 'Sakhir'}}, 'ArchiveStatus': {'Status': 'Generating'}, 'Key': 6979, 'Type': 'Practice', 'Number': 1, 'Name': 'Practice 1', 'StartDate': datetime.datetime(2022, 3, 18, 15, 0), 'EndDate': datetime.datetime(2022, 3, 18, 16, 0), 'GmtOffset': datetime.timedelta(seconds=10800), 'Path': '2022/2022-03-20_Bahrain_Grand_Prix/2022-03-18_Practice_1/'}",2022-03-20 00:00:00
